External_ID,Canonical_SMILES,Name,logP_exp,N_count,N_group,logP_bin
SANG_CMR_EXT_026,Cc1cc2c(ccc3c(C)cc(=O)oc32)o1,"2H-Furo[2,3-h]-1-benzopyran-2-one, 4,8-dimethyl-",2.79,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_027,Cc1cc2c(cc(C)c3ccc(=O)oc32)o1,"2H-Furo[2,3-h]-1-benzopyran-2-one, 5,8-dimethyl-",2.92,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_028,Cc1cc2occ(C)c2c2oc(=O)ccc12,"2H-Furo[2,3-h]-1-benzopyran-2-one, 5,9-dimethyl-",2.92,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_029,Cc1cc(=O)oc2c1ccc1occ(C)c12,"2H-Furo[2,3-h]-1-benzopyran-2-one, 4,9-dimethyl-",2.81,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_030,Cc1c(C)c2cc3ccoc3cc2oc1=O,"7H-Furo[3,2-g][1]benzopyran-7-one, 5,6-dimethyl-",2.77,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_031,Cc1cc(=O)oc2c(C)c3occc3cc12,"7H-Furo[3,2-g][1]benzopyran-7-one, 5,9-dimethyl-",2.82,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_032,Cc1coc2cc3oc(=O)cc(C)c3cc12,"7H-Furo[3,2-g][1]benzopyran-7-one, 3,5-dimethyl-",2.76,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_033,Cc1cc2cc3c(C)cc(=O)oc3cc2o1,"7H-Furo[3,2-g][1]benzopyran-7-one, 2,5-dimethyl-",2.82,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_034,Cc1coc2cc3oc(=O)ccc3c(C)c12,"7H-Furo[3,2-g][1]benzopyran-7-one, 3,4-dimethyl-",2.79,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_035,Cc1cc2c(C)c3ccc(=O)oc3cc2o1,"7H-Furo[3,2-g][1]benzopyran-7-one, 2,4-dimethyl-",2.84,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_036,Cc1cc2cc3ccc(=O)oc3c(C)c2o1,"7H-Furo[3,2-g][1]benzopyran-7-one, 2,9-dimethyl-",2.93,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_037,Cc1oc2cc3oc(=O)ccc3cc2c1C,"7H-Furo[3,2-g][1]benzopyran-7-one, 2,3-dimethyl-",2.93,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_038,Cc1oc2ccc3ccc(=O)oc3c2c1C,"2H-Furo[2,3-h]-1-benzopyran-2-one, 8,9-dimethyl-",2.94,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_039,Cc1cc2c(o1)c(C)cc1ccc(=O)oc12,"2H-Furo[2,3-h]-1-benzopyran-2-one, 6,8-dimethyl-",2.85,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_040,Cc1cc2ccc(=O)oc2c2c(C)coc12,"2H-Furo[2,3-h]-1-benzopyran-2-one, 6,9-dimethyl-",2.88,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_041,Cc1c(C)c2occc2c2oc(=O)ccc12,"2H-Furo[2,3-h]-1-benzopyran-2-one, 5,6-dimethyl-",2.84,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_042,Cc1cc(=O)oc2c1cc(C)c1occc12,"2H-Furo[2,3-h]-1-benzopyran-2-one, 4,6-dimethyl-",2.79,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_043,Cc1cc2c(ccc3cc(C)c(=O)oc32)o1,"2H-Furo[2,3-h]-1-benzopyran-2-one, 3,8-dimethyl-",2.97,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_044,Cc1cc2ccc3occ(C)c3c2oc1=O,"2H-Furo[2,3-h]-1-benzopyran-2-one, 3,9-dimethyl-",2.97,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_045,Cc1c(C)c2ccc3occc3c2oc1=O,"2H-Furo[2,3-h]-1-benzopyran-2-one, 3,4-dimethyl-",2.9,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_046,Cc1coc2c(C)c3oc(=O)ccc3cc12,"7H-Furo[3,2-g][1]benzopyran-7-one, 3,9-dimethyl-",2.81,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_047,CC(C)NC(=O)c1cc2ccccc2oc1=O,"2H-1-Benzopyran-3-carboxamide, N-(1-methylethyl)-2-oxo-",2.13,1,N = 1,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_048,Cc1sc2cc3oc(=O)cc(C)c3cc2c1C,"2H-Thieno[3,2-g]-1-benzopyran-2-one, 4,6,7-trimethyl-",3.48,0,N = 0,logP > 3.0
SANG_CMR_EXT_049,Cc1sc2ccc3c(C)cc(=O)oc3c2c1C,"2H-Thieno[2,3-h]benzofuran-2-one, 4,8,9-trimethyl-",3.65,0,N = 0,logP > 3.0
SANG_CMR_EXT_050,Cc1c(C)c2cc3ccoc3c(C)c2oc1=O,"7H-Furo[3,2-g][1]benzopyran-7-one, 5,6,9-trimethyl-",3.25,0,N = 0,logP > 3.0
SANG_CMR_EXT_051,Cc1coc2c(C)c3oc(=O)cc(C)c3cc12,"7H-Furo[3,2-g][1]benzopyran-7-one, 3,5,9-trimethyl-",3.25,0,N = 0,logP > 3.0
SANG_CMR_EXT_052,Cc1oc2cc3oc(=O)cc(C)c3cc2c1C,"7H-Furo[3,2-g][1]benzopyran-7-one, 2,3,5-trimethyl-",3.22,0,N = 0,logP > 3.0
SANG_CMR_EXT_053,Cc1oc2cc3oc(=O)ccc3c(C)c2c1C,"7H-Furo[3,2-g][1]benzopyran-7-one, 2,3,4-trimethyl-",3.27,0,N = 0,logP > 3.0
SANG_CMR_EXT_054,Cc1c2oc(=O)ccc2c(C)c2c(C)coc12,"5-Benzofuranacrylic acid, 6-hydroxy-3,4,7-trimethyl-, delta-lactone",3.35,0,N = 0,logP > 3.0
SANG_CMR_EXT_055,Cc1oc2c(C)cc3ccc(=O)oc3c2c1C,"2H-Furo[2,3-h]-1-benzopyran-2-one, 6,8,9-trimethyl-",3.34,0,N = 0,logP > 3.0
SANG_CMR_EXT_056,Cc1cc2c(cc(C)c3c(C)cc(=O)oc32)o1,"2H-Furo[2,3-h]-1-benzopyran-2-one, 4,5,8-trimethyl-",3.36,0,N = 0,logP > 3.0
SANG_CMR_EXT_057,Cc1cc2c(o1)c(C)c(C)c1ccc(=O)oc12,"2H-Furo[2,3-h]-1-benzopyran-2-one, 5,6,8-trimethyl-",3.26,0,N = 0,logP > 3.0
SANG_CMR_EXT_058,Cc1cc2c(o1)c(C)cc1c(C)cc(=O)oc12,"2H-Furo[2,3-h]-1-benzopyran-2-one, 4,6,8-trimethyl-",3.15,0,N = 0,logP > 3.0
SANG_CMR_EXT_059,Cc1cc2c(ccc3c(C)c(C)c(=O)oc32)o1,"2H-Furo[2,3-h]-1-benzopyran-2-one, 3,4,8-trimethyl-",3.27,0,N = 0,logP > 3.0
SANG_CMR_EXT_060,Cc1c(C)c2ccc3occ(C)c3c2oc1=O,"2H-Furo[2,3-h]-1-benzopyran-2-one, 3,4,9-trimethyl-",3.25,0,N = 0,logP > 3.0
SANG_CMR_EXT_061,Cc1c(C)c2cc(C)c3occc3c2oc1=O,"2H-Furo[2,3-h]-1-benzopyran-2-one, 3,4,6-trimethyl-",3.23,0,N = 0,logP > 3.0
SANG_CMR_EXT_062,Cc1oc2ccc3c(C)cc(=O)oc3c2c1C,"2H-Furo[2,3-h]-1-benzopyran-2-one, 4,8,9-trimethyl-",3.28,0,N = 0,logP > 3.0
SANG_CMR_EXT_063,Cc1cc(=O)oc2c1cc(C)c1occ(C)c12,"2H-Furo[2,3-h]-1-benzopyran-2-one, 4,6,9-trimethyl-",3.23,0,N = 0,logP > 3.0
SANG_CMR_EXT_064,Cc1coc2c1c(C)cc1oc(=O)cc(C)c12,"7H-Furo[2,3-f][1]benzopyran-7-one, 3,4,9-trimethyl-",3.28,0,N = 0,logP > 3.0
SANG_CMR_EXT_065,Cc1cc2c(C)cc3oc(=O)cc(C)c3c2o1,"7H-Furo[2,3-f][1]benzopyran-7-one, 2,4,9-trimethyl-",3.25,0,N = 0,logP > 3.0
SANG_CMR_EXT_066,CC(C)=CCOc1ccc2ccc(=O)oc2c1,"2H-1-Benzopyran-2-one, 7-[(3-methyl-2-buten-1-yl)oxy]-",3.91,0,N = 0,logP > 3.0
SANG_CMR_EXT_067,Cc1cc(=O)oc2c(C)c(OCC(O)CCl)ccc12,"2H-1-Benzopyran-2-one, 7-(3-chloro-2-hydroxypropoxy)-4,8-dimethyl-",0.53,0,N = 0,logP < 1.5
SANG_CMR_EXT_068,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,"Phosphorothioic acid, O-(3-chloro-4-methyl-2-oxo-2H-1-benzopyran-7-yl) O,O-diethyl ester",4.01,0,N = 0,logP > 3.0
SANG_CMR_EXT_069,Cc1cc2oc(=O)cc(C)c2cc1OCC(O)CO,"2H-1-Benzopyran-2-one, 4,8-dimethyl-7-(2,3-dihydroxypropoxy)-",0.36,0,N = 0,logP < 1.5
SANG_CMR_EXT_070,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,"6H-Benzofuro[3,2-c]benzopyran-6-one, 3,9-dihydroxy-",2.69,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_071,Cc1sc2c(C)cc3c(C)cc(=O)oc3c2c1C,"2H-Thieno[3,2-h]-1-benzopyran-2-one, 4,6,8,9-tetramethyl-",4.09,0,N = 0,logP > 3.0
SANG_CMR_EXT_072,Cc1c(C)c2cc3c(C)coc3c(C)c2oc1=O,"7H-Furo[3,2-g][1]benzopyran-7-one, 3,5,6,9-tetramethyl-",3.62,0,N = 0,logP > 3.0
SANG_CMR_EXT_073,COc1c2oc(=O)c(C)cc2cc2c(C)c(C)oc12,"7H-Furo[3,2-g][1]benzopyran-7-one, 9-methoxy-2,3,6-trimethyl-",3.28,0,N = 0,logP > 3.0
SANG_CMR_EXT_074,COc1ccc2ccc(=O)oc2c1CC1OC1(C)C,"2H-1-Benzopyran-2-one, 8-[(3,3-dimethyl-2-oxiranyl)methyl]-7-methoxy-",3.03,0,N = 0,logP > 3.0
SANG_CMR_EXT_075,COC(=O)C1OC(Oc2ccc3ccc(=O)oc3c2)C(O)C(O)C1O,"β-D-Glucopyranosiduronic acid, 2-oxo-2H-1-benzopyran-7-yl, methyl ester",-1.08,0,N = 0,logP < 1.5
SANG_CMR_EXT_076,Cc1cc(=O)oc2cc(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)ccc12,"β-D-Glucopyranosiduronic acid, 4-methyl-2-oxo-2H-1-benzopyran-7-yl-",-0.39,0,N = 0,logP < 1.5
SANG_CMR_EXT_077,COc1cc2oc(=O)cc(CC(NC(C)=O)C(N)=O)c2cc1OC,"2H-1-Benzopyran-4-propanamide, α-(acetylamino)-6,7-dimethoxy-2-oxo-",-0.13,2,N = 2–3,logP < 1.5
SANG_CMR_EXT_078,Cc1cc(=O)oc2ccc(OC3OC(CO)C(O)C(O)C3O)cc12,"2H-1-Benzopyran-2-one, 6-(β-D-glucopyranosyloxy)-4-methyl-",-0.66,0,N = 0,logP < 1.5
SANG_CMR_EXT_079,COc1c2ccoc2c(OCC=C(C)C)c2oc(=O)ccc12,"7H-Furo[3,2-g]benzopyran-7-one, 4-methoxy-9-[(3-methyl-2-buten-1-yl)oxy]-",3.86,0,N = 0,logP > 3.0
SANG_CMR_EXT_080,O=c1oc2ccc(Cl)cc2cc1C1=Nn2c(nnc2-c2ccncc2)SC1,"2H-1-Benzopyran-2-one, 6-chloro-[3-(4-pyridinyl)-7H-1,2,4-triazolo[3,4-b][1,3,4]thiadiazin-6-yl]-",1.18,5,N ≥ 4,logP < 1.5
SANG_CMR_EXT_081,O=c1oc2ccc(Cl)cc2cc1C1=Nn2c(nnc2-c2cccc(Br)c2)SC1,"2H-1-Benzopyran-2-one, 6-chloro-3-[3-(3-bromophenyl)-7H-1,2,4-triazolo[3,4-b][1,3,4]thiadiazin-6-yl]-",1.53,4,N ≥ 4,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_082,O=c1oc2ccc(Cl)cc2cc1C1=Nn2c(nnc2-c2ccc(Br)cc2)SC1,"2H-1-Benzopyran-2-one, 6-chloro-[3-(4-bromophenyl)-7H-1,3,4-triazolo[3,4-b][1,3,4]thiadiazin-6-yl]-",1.51,4,N ≥ 4,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_083,O=c1oc2ccc(Cl)cc2cc1C1=Nn2c(nnc2-c2ccccc2Cl)SC1,"2H-1-Benzopyran-2-one, 6-chloro-3-[3-(2-chlorophenyl)-7H-1,2,4-triazolo[3,4-b][1,3,4]thiadiazin-6-yl]-",1.53,4,N ≥ 4,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_084,O=c1oc2ccc(Cl)cc2cc1C1=Nn2c(nnc2-c2ccc(Cl)cc2)SC1,"2H-1-Benzopyran-2-one, 6-chloro-3-[3-(4-chlorophenyl)-7H-1,2,4-triazolo[3,4-b][1,3,4]thiadiazin-6-yl]-",1.49,4,N ≥ 4,logP < 1.5
SANG_CMR_EXT_085,O=c1oc2ccc(Cl)cc2cc1C1=Nn2c(nnc2-c2ccccc2)SC1,"2H-1,4-Benzodiazepin-2-one, 6-chloro-3-(3-phenyl-7H-1,2,4-triazolo[3,4-b][1,3,4]thiadiazin-6-yl)-",1.27,4,N ≥ 4,logP < 1.5
SANG_CMR_EXT_086,O=c1oc2ccc(Cl)cc2cc1C1=Nn2c(nnc2-c2ccccc2O)SC1,"2H-1-Benzopyran-2-one, 6-chloro-3-[3-(2-hydroxyphenyl)-7H-1,2,4-triazolo[3,4-b][1,3,4]thiadiazin-6-yl]-",0.36,4,N ≥ 4,logP < 1.5
SANG_CMR_EXT_087,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,"2H-1-Benzopyran-2-one, 3,3'-methylenebis(4-hydroxy-",1.83,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_088,O=c1oc2ccccc2c(O)c1C1CCCc2ccccc21,"2H-1-Benzopyran-2-one, 4-hydroxy-3-(1,2,3,4-tetrahydro-1-naphthalenyl)-",3.46,0,N = 0,logP > 3.0
SANG_CMR_EXT_089,O=c1oc2ccc(Cl)cc2cc1C1=Nn2c(COc3ccc(Cl)cc3Cl)nnc2SC1,"2H-1-Benzopyran-2-one, 6-chloro-3-[3-[2,4-dichlorophenoxy(methyl)]-7H-1,2,4-triazolo[3,4-b][1,3,4]thiadiazin-6-yl]-",1.4,4,N ≥ 4,logP < 1.5
SANG_CMR_EXT_090,O=c1oc2ccc(Cl)cc2cc1C1=Nn2c(COc3ccc(Cl)cc3)nnc2SC1,"2H-1-Benzopyran-2-one, 6-chloro-3-[3-[4-chlorophenoxy(methyl)]-7H-1,2,4-triazolo[3,4-b][1,3,4]thiadiazin-6-yl]-",1.33,4,N ≥ 4,logP < 1.5
SANG_CMR_EXT_091,CC(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,"2H-1-Benzopyran-2-one, 3,3'-ethylidenebis[4-hydroxy-",0.43,0,N = 0,logP < 1.5
SANG_CMR_EXT_092,CCC(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,"2H-1-Benzopyran-2-one, 3,3'-propylidenebis[4-hydroxy-",2.02,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_093,CC=C(C)C(=O)OC1C(OC(C)=O)c2c(ccc3ccc(=O)oc23)OC1(C)C,"2-Butenoic acid, 2-methyl-, (9R,10R)-10-(acetyloxy)-9,10-dihydro-8,8-dimethyl-2-oxo-2H,8H-benzo[1,2-b:3,4-b']dipyran-9-yl ester, (2Z)-",3.75,0,N = 0,logP > 3.0
SANG_CMR_EXT_094,CCCC(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,"2H-1-Benzopyran-2-one, 3,3'-butylidenebis[4-hydroxy-",2.31,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_095,Cc1ccc(N2C(=O)C(=O)N(C(=O)COc3ccc4c(C)cc(=O)oc4c3C)C2=O)cc1,"2H-1-Benzopyran-2-one, 4,8-dimethyl-7-[2-oxo-2-[3-(4-methylphenyl)-2,4,5-trioxo-1-imidazolidinyl]ethoxy]-",0.84,2,N = 2–3,logP < 1.5
SANG_CMR_EXT_096,CCCCC(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,"2H-1-Benzopyran-2-one, 3,3'-pentylidenebis[4-hydroxy-",2.69,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_097,Cc1ccccc1N1C(=O)C(=O)N(C(=O)CCOc2ccc3c(C)cc(=O)oc3c2C)C1=O,"2H-1-Benzopyran-2-one, 4,8-dimethyl-7-[2-oxo-2-[3-(2-methylphenyl)-2,4,5-trioxo-1-imidazolidinyl]ethoxy]-",0.98,2,N = 2–3,logP < 1.5
SANG_CMR_EXT_098,C/C=C(\C)C(=O)OC1c2c(ccc3ccc(=O)oc23)OC(C)(C)[C@@H]1OC(=O)/C(C)=C/C,"2-Butenoic acid, 2-methyl-, 1,1'-[(9R,10R)-9,10-dihydro-8,8-dimethyl-2-oxo-2H,8H-benzo[1,2-b:3,4-b']dipyran-9,10-diyl] ester, (2Z, 2Z')-; anomalin",4.41,0,N = 0,logP > 3.0
SANG_CMR_EXT_099,O=c1oc2ccccc2c(O)c1C(c1ccccc1)c1c(O)c2ccccc2oc1=O,"2H-1-Benzopyran-2-one, α,α'-(phenylmethylene)bis[4-hydroxy-",1.95,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_100,C/C=C(/C)C(=O)O[C@H]1[C@@H](O)c2c(ccc3ccc(=O)oc23)OC1(C)C,isolaserpitin,3.56,0,N = 0,logP > 3.0
SANG_CMR_EXT_101,COc1ccccc1C(c1cc2ccccc2oc1=O)c1cc2ccccc2oc1=O,"2H-1-Benzopyran-2-one, 3,3'-[2-methoxyphenyl(methylene)]bis-",2.5,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_102,CO[C@H]1[C@@H](O)[C@@H](C)O[C@H](O[C@H]2[C@H](Oc3cccc4c(O)c5c(=O)oc6ccc(C)c7c(=O)oc(c34)c5c67)O[C@H](C)[C@H](O)[C@@H]2O)[C@@H]1O,"Benzo[h][1]benzopyrano[5,4,3-cde][1]benzopyran-5,12-dione, 10-[[6-deoxy-2-O-(6-deoxy-3-O-methyl-α-D-galactopyranosyl)-β-D-galactopyranosyl]oxy]-6-hydroxy-1-methyl-",1.8,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_103,O=c1oc2ccccc2c(O)c1C1CC(c2ccc(OCc3ccc(C(F)(F)F)cc3)cc2)Cc2ccccc21,"2H-1-Benzopyran-2-one, 4-hydroxy-3-[1,2,3,4-tetrahydro-3-[4-[[4-(trifluoromethyl)phenyl]methoxy]phenyl]-1-naphthalenyl]-",4.7,0,N = 0,logP > 3.0
SANG_CMR_EXT_104,Cc1cc(=O)oc2cc3c(cc12)CCCN3,CHEMBL1451129,2.7,1,N = 1,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_105,CCN(CC)c1ccc2cc(C(C)=O)c(=O)oc2c1,CHEMBL379350,2.0,1,N = 1,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_106,Cc1c(-c2ccc(O)cc2)c(=O)oc2cc(O)ccc12,CHEMBL1255978,2.8,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_107,Cc1cc2c(C)cc(=O)oc2c2c1NCCC2,CHEMBL1442864,2.9,1,N = 1,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_108,O=c1oc2ccc(O)cc2cc1-c1ccccc1,CHEMBL467028,3.12,0,N = 0,logP > 3.0
SANG_CMR_EXT_109,O=c1oc2ccc(O)cc2cc1-c1ccc(O)cc1,CHEMBL486894,2.9,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_110,CCOC(=O)c1cc2ccc(O)cc2oc1=O,CHEMBL155103,1.2,0,N = 0,logP < 1.5
SANG_CMR_EXT_111,O=c1oc2ccccc2cc1-c1ccccc1,CHEMBL510349,3.22,0,N = 0,logP > 3.0
SANG_CMR_EXT_112,CCOc1ccc2ccc(=O)oc2c1,CHEMBL191528,2.2,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_113,O=c1oc2c(O)cccc2cc1-c1ccc(O)cc1,CHEMBL1777848,2.8,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_114,O=c1oc2cc(O)ccc2cc1-c1ccc(O)cc1,CHEMBL1915315,2.9,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_115,O=c1oc2ccccc2cc1-c1ccc(O)cc1,CHEMBL71271,3.0,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_116,COc1ccc(-c2c(C)c3ccc(OC)cc3oc2=O)cc1,CHEMBL1258188,3.31,0,N = 0,logP > 3.0
SANG_CMR_EXT_117,CC(=O)c1cc2ccc(O)cc2oc1=O,,1.21,0,N = 0,logP < 1.5
SANG_CMR_EXT_118,COC1C(O)C(O)C(O)C(Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2Cl)OC1(C)C,"Benzamide, N-[7-[[6-deoxy-5-C-methyl-4-O-methyl-α-L-lyxohexopyranosyl]oxy]-8-chloro-4-hydroxy-2-oxo-2H-1-benzopyran-3-yl]-4-hydroxy-3-(3-methyl-2-butenyl)-",1.85,1,N = 1,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_119,CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,"Benzamide, N-[7-[(6-deoxy-5-C-methyl-4-O-methyl-α-L-lyxohexopyranosyl)oxy]-4-hydroxy-8-methyl-2-oxo-2H-1-benzopyran-3-yl]-4-hydroxy-3-(3-methyl-2-butenyl)-",1.39,1,N = 1,logP < 1.5
